Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ULTI,"The Ultimate Software Group, Inc.",195.94,5853862489,n/a,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ulti
YORW,The York Water Company,36.7,471976680,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/yorw
NCTY,The9 Limited,0.7251,15691863.72,21640965,2004,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ncty
TXMD,"TherapeuticsMD, Inc.",5.975,1293167111,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/txmd
TRPX,Therapix Biosciences Ltd.,5.38,10987148.98,2042221,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/trpx
TBPH,"Theravance Biopharma, Inc.",28.23,1527338361,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tbph
TST,"TheStreet, Inc.",1.39,68129355.75,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/tst
TCRD,"THL Credit, Inc.",9.45,308765425.5,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/tcrd
TICC,TICC Capital Corp.,6.21,319687129.9,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ticc
TICCL,TICC Capital Corp.,25.798,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ticcl
TIG,TiGenix,22.39,26094156.82,1165438,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tig
TTS,"Tile Shop Hldgs, Inc.",8.375,436823794.4,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/tts
TIL,Till Capital Ltd.,4.25,14238707,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/til
TSBK,"Timberland Bancorp, Inc.",27.35,201325456,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/tsbk
TNTR,"Tintri, Inc.",5.56,174161979.3,n/a,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/tntr
